Member Number,Current Plan Start Date,Current Plan End Date
10609278,20121001,20131001
10909725,20150516,20160615
10752569,20131001,20140131
10606503,20120923,20130122
10754806,20131006,20140205
10904829,20150106,20150505
10894339,20141119,20150318
10755362,20140207,20140606
10755362,20140207,20140606
10904780,20150106,20150505
10410339,20120831,20130929
10685517,20130426,20130825
10914794,20150628,20150729
10903868,20150505,20150904
10903868,20150505,20150904
10600827,20130111,20130510
10600827,20130111,20130510
10940707,20150415,20150814
10898263,20141231,20150429
10919294,20150208,20150607
10780612,20150227,20160426
10869850,20150211,20150710
10919308,20150307,20150706
10409437,20150131,20160328
10619044,20130215,20130614
10619044,20130215,20130614
10580700,20130330,20130729
10580700,20130330,20130729
10580700,20130330,20130729
10580700,20130330,20130729
10580700,20130330,20130729
10580700,20130330,20130729
10580700,20130330,20130729
10905115,20150106,20150505
10905148,20150106,20150505
10905152,20150106,20150505
10908590,20150113,20150512
10981186,20150901,20151231
10923783,20150228,20150627
10924042,20150226,20150625
10589862,20120820,20120919
10751060,20130929,20140128
10841739,20150707,20160806
10757918,20140228,20140401
10922765,20150409,20150719
10921131,20151030,20160228
10921131,20151030,20160228
10423178,20111101,20121201
10918700,20150205,20150304
10919847,20150210,20150609
10985449,20151113,20151212
10921099,20150214,20150613
10916082,20150201,20150531
10914847,20150129,20150728
10908935,20150616,20151015
10887732,20141101,20150228
10893245,20141115,20150314
10745492,20130916,20140916
10916356,20150202,20150601
10916402,20150131,20150530
10916565,20150201,20150531
10917829,20150203,20150602
10496330,20120215,20120614
10620774,20121017,20130216
10904923,20160106,20160505
10904923,20160106,20160505
10787029,20140110,20140509
10605427,20120920,20130119
10605427,20120920,20130119
10672961,20130313,20130712
10547455,20120517,20130701
10904533,20150109,20150508
10588700,20120901,20120930
10921466,20150216,20150615
10927721,20150304,20150703
10921415,20150617,20151016
10898332,20150807,20161206
10901280,20141220,20150419
10908674,20150114,20150713
10908691,20150114,20150513
10945214,20150501,20150831
10887061,20141027,20151126
10890079,20150504,20151103
10619560,20121015,20130214
10898792,20141207,20150406
10812714,20140310,20140709
10604697,20120919,20130918
10604697,20120919,20130918
10605242,20130121,20130520
10605242,20130121,20130520
10911587,20150120,20150719
10902368,20141230,20150429
10903378,20150430,20150929
10896292,20141130,20150329
10897821,20141202,20150601
10900011,20141212,20150411
10920008,20150210,20150609
10617711,20130211,20130610
10617711,20130211,20130610
10917594,20150202,20150301
10918811,20150206,20150605
10918817,20150206,20150305
10918843,20150210,20150609
10918844,20150209,20150608
10919991,20150211,20150610
10677870,20130330,20130729
10909562,20150116,20150515
10923297,20150228,20150627
10906482,20150112,20150511
10906487,20150112,20150511
10613369,20121101,20130201
10907601,20150113,20150512
10755419,20140207,20140606
10923552,20150420,20150622
10923569,20150223,20150322
10954233,20150601,20160601
10930770,20150323,20150422
10907548,20150201,20150301
10898087,20141203,20150602
10636803,20130327,20130501
10052717,20130118,20140121
10052717,20130118,20140121
10893761,20141120,20150319
10895003,20141124,20150323
10443552,20111123,20111220
10892335,20141112,20150311
10892376,20150312,20160411
10454227,20111213,20130112
10906818,20150110,20150509
10906832,20150510,20150909
10906864,20150110,20150609
10904953,20150107,20150506
10945611,20150527,20160626
10888076,20150302,20150702
10839532,20140531,20140929
10898512,20141205,20150404
10898530,20141215,20150414
10898609,20141205,20160104
10870124,20140912,20150111
10894945,20141122,20150321
10876810,20140929,20150128
10915885,20150201,20150531
10910069,20150117,20150516
10660042,20130201,20130531
10897541,20150201,20150228
10899696,20160110,20170309
10629694,20130306,20130905
10629694,20130306,20130905
10710197,20130727,20131126
10900322,20141216,20150415
10894372,20141119,20151218
10895696,20141125,20151224
10926799,20150302,20150401
10917298,20150202,20150301
10952836,20150530,20150629
10918575,20150205,20150604
10657358,20130128,20130527
10169149,20110221,20110701
10915993,20150130,20150529
10915102,20150130,20150529
10867364,20140903,20150102
10690429,20130514,20131113
10664525,20130214,20130613
10903694,20150104,20150503
10889952,20141104,20150303
10900855,20150101,20150430
10902792,20141231,20150429
10902840,20150130,20150529
10902843,20150130,20150529
10560881,20120617,20121016
10560884,20120617,20121016
10869436,20150223,20151009
10856887,20140731,20141129
10661116,20130204,20130603
10790612,20140117,20150216
10917254,20151002,20160201
