id,date,end,interval
10908901,Sun May 31 2015 00:00:00 GMT+0100 (BST),Tue May 19 2015 00:00:00 GMT+0100 (BST),-12
10748274,Wed Jan 22 2014 00:00:00 GMT+0000 (GMT),Wed Jan 22 2014 00:00:00 GMT+0000 (GMT),0
10692503,Sat Sep 21 2013 00:00:00 GMT+0100 (BST),Sat Sep 21 2013 00:00:00 GMT+0100 (BST),0
10557955,Wed Jul 31 2013 00:00:00 GMT+0100 (BST),Sat Jun 15 2013 00:00:00 GMT+0100 (BST),-46
10857231,Sun Aug 31 2014 00:00:00 GMT+0100 (BST),Mon Sep 01 2014 00:00:00 GMT+0100 (BST),1
10944150,Thu Dec 31 2015 00:00:00 GMT+0000 (GMT),Fri Jul 01 2016 00:00:00 GMT+0100 (BST),183
10851884,Tue Nov 11 2014 00:00:00 GMT+0000 (GMT),Tue Nov 11 2014 00:00:00 GMT+0000 (GMT),0
10748027,Thu Jul 31 2014 00:00:00 GMT+0100 (BST),Thu Jun 26 2014 00:00:00 GMT+0100 (BST),-35
10748027,Thu Jul 31 2014 00:00:00 GMT+0100 (BST),Thu Jun 26 2014 00:00:00 GMT+0100 (BST),-35
10663598,Tue Apr 30 2013 00:00:00 GMT+0100 (BST),Fri Mar 15 2013 00:00:00 GMT+0000 (GMT),-46
10663598,Tue Apr 30 2013 00:00:00 GMT+0100 (BST),Fri Mar 15 2013 00:00:00 GMT+0000 (GMT),-46
10710626,Tue Mar 31 2015 00:00:00 GMT+0100 (BST),Tue Sep 01 2015 00:00:00 GMT+0100 (BST),154
10236622,Mon Dec 31 2012 00:00:00 GMT+0000 (GMT),Fri Feb 15 2013 00:00:00 GMT+0000 (GMT),46
10539390,Tue May 01 2012 00:00:00 GMT+0100 (BST),Wed May 01 2013 00:00:00 GMT+0100 (BST),365
10539421,Tue May 01 2012 00:00:00 GMT+0100 (BST),Wed May 01 2013 00:00:00 GMT+0100 (BST),365
10539421,Tue May 01 2012 00:00:00 GMT+0100 (BST),Wed May 01 2013 00:00:00 GMT+0100 (BST),365
10310334,Wed Feb 29 2012 00:00:00 GMT+0000 (GMT),Fri Jul 01 2011 00:00:00 GMT+0100 (BST),-243
10900665,Thu Dec 31 2015 00:00:00 GMT+0000 (GMT),Fri Jan 01 2016 00:00:00 GMT+0000 (GMT),1
10846015,Sat Oct 31 2015 00:00:00 GMT+0000 (GMT),Tue Oct 27 2015 00:00:00 GMT+0000 (GMT),-4
10816875,Thu Apr 23 2015 00:00:00 GMT+0100 (BST),Thu Apr 23 2015 00:00:00 GMT+0100 (BST),0
10219101,Mon Jun 30 2014 00:00:00 GMT+0100 (BST),Wed Jan 01 2014 00:00:00 GMT+0000 (GMT),-180
10826154,Mon May 19 2014 00:00:00 GMT+0100 (BST),Mon May 19 2014 00:00:00 GMT+0100 (BST),0
10830665,Fri May 02 2014 00:00:00 GMT+0100 (BST),Fri Sep 05 2014 00:00:00 GMT+0100 (BST),126
10515186,Thu Jan 03 2013 00:00:00 GMT+0000 (GMT),Fri Mar 15 2013 00:00:00 GMT+0000 (GMT),71
10696454,Thu Dec 31 2015 00:00:00 GMT+0000 (GMT),Tue Oct 07 2014 00:00:00 GMT+0100 (BST),-450
10696454,Thu Dec 31 2015 00:00:00 GMT+0000 (GMT),Tue Oct 07 2014 00:00:00 GMT+0100 (BST),-450
10857128,Thu Oct 30 2014 00:00:00 GMT+0000 (GMT),Sat Nov 29 2014 00:00:00 GMT+0000 (GMT),30
10285702,Thu Oct 25 2012 00:00:00 GMT+0100 (BST),Sat Feb 02 2013 00:00:00 GMT+0000 (GMT),100
10285702,Thu Oct 25 2012 00:00:00 GMT+0100 (BST),Sat Feb 02 2013 00:00:00 GMT+0000 (GMT),100
10285702,Thu Oct 25 2012 00:00:00 GMT+0100 (BST),Sat Feb 02 2013 00:00:00 GMT+0000 (GMT),100
10285702,Thu Oct 25 2012 00:00:00 GMT+0100 (BST),Sat Feb 02 2013 00:00:00 GMT+0000 (GMT),100
10285702,Thu Oct 25 2012 00:00:00 GMT+0100 (BST),Sat Feb 02 2013 00:00:00 GMT+0000 (GMT),100
10285702,Thu Oct 25 2012 00:00:00 GMT+0100 (BST),Sat Feb 02 2013 00:00:00 GMT+0000 (GMT),100
10236561,Tue Apr 30 2013 00:00:00 GMT+0100 (BST),Thu Nov 01 2012 00:00:00 GMT+0000 (GMT),-180
10838505,Sun Sep 28 2014 00:00:00 GMT+0100 (BST),Sun Sep 28 2014 00:00:00 GMT+0100 (BST),0
10910917,Sat Feb 28 2015 00:00:00 GMT+0000 (GMT),Sun Mar 01 2015 00:00:00 GMT+0000 (GMT),1
10519161,Thu Mar 29 2012 00:00:00 GMT+0100 (BST),Mon Apr 01 2013 00:00:00 GMT+0100 (BST),368
10707285,Fri Jan 31 2014 00:00:00 GMT+0000 (GMT),Tue Jul 22 2014 00:00:00 GMT+0100 (BST),172
10831518,Mon Jun 30 2014 00:00:00 GMT+0100 (BST),Thu Jun 12 2014 00:00:00 GMT+0100 (BST),-18
10569994,Wed Jul 11 2012 00:00:00 GMT+0100 (BST),Thu Aug 01 2013 00:00:00 GMT+0100 (BST),386
10236864,Sat May 31 2014 00:00:00 GMT+0100 (BST),Sun Jul 01 2012 00:00:00 GMT+0100 (BST),-699
10633805,Mon Dec 17 2012 00:00:00 GMT+0000 (GMT),Mon Dec 17 2012 00:00:00 GMT+0000 (GMT),0
10411914,Mon Dec 15 2014 00:00:00 GMT+0000 (GMT),Mon Dec 15 2014 00:00:00 GMT+0000 (GMT),0
10877276,Thu Oct 29 2015 00:00:00 GMT+0000 (GMT),Tue Dec 29 2015 00:00:00 GMT+0000 (GMT),61
10931389,Sun May 31 2015 00:00:00 GMT+0100 (BST),Fri May 01 2015 00:00:00 GMT+0100 (BST),-30
10869573,Fri Oct 31 2014 00:00:00 GMT+0000 (GMT),Wed Oct 15 2014 00:00:00 GMT+0100 (BST),-16
10833881,Thu Dec 31 2015 00:00:00 GMT+0000 (GMT),Thu Jan 01 2015 00:00:00 GMT+0000 (GMT),-364
10836326,Mon Jun 30 2014 00:00:00 GMT+0100 (BST),Tue Jul 01 2014 00:00:00 GMT+0100 (BST),1
10840229,Wed Sep 30 2015 00:00:00 GMT+0100 (BST),Thu Jun 11 2015 00:00:00 GMT+0100 (BST),-111
10840229,Wed Sep 30 2015 00:00:00 GMT+0100 (BST),Thu Jun 11 2015 00:00:00 GMT+0100 (BST),-111
10294168,Fri Oct 31 2014 00:00:00 GMT+0000 (GMT),Sun Jun 01 2014 00:00:00 GMT+0100 (BST),-152
10602338,Wed Dec 05 2012 00:00:00 GMT+0000 (GMT),Tue Oct 01 2013 00:00:00 GMT+0100 (BST),300
10541941,Tue Apr 30 2013 00:00:00 GMT+0100 (BST),Wed May 15 2013 00:00:00 GMT+0100 (BST),15
10770063,Sun Aug 17 2014 00:00:00 GMT+0100 (BST),Sun Aug 17 2014 00:00:00 GMT+0100 (BST),0
10819943,Wed Apr 29 2015 00:00:00 GMT+0100 (BST),Wed Apr 29 2015 00:00:00 GMT+0100 (BST),0
10566927,Sun Sep 30 2012 00:00:00 GMT+0100 (BST),Mon Jul 01 2013 00:00:00 GMT+0100 (BST),274
10818574,Mon Nov 30 2015 00:00:00 GMT+0000 (GMT),Tue Jul 28 2015 00:00:00 GMT+0100 (BST),-125
10526764,Tue Feb 05 2013 00:00:00 GMT+0000 (GMT),Mon Apr 15 2013 00:00:00 GMT+0100 (BST),69
10824408,Tue Sep 30 2014 00:00:00 GMT+0100 (BST),Wed Oct 01 2014 00:00:00 GMT+0100 (BST),1
10825314,Mon Nov 30 2015 00:00:00 GMT+0000 (GMT),Sat Aug 15 2015 00:00:00 GMT+0100 (BST),-107
10801838,Fri Jul 31 2015 00:00:00 GMT+0100 (BST),Wed Oct 15 2014 00:00:00 GMT+0100 (BST),-289
10815652,Tue Mar 31 2015 00:00:00 GMT+0100 (BST),Tue Mar 31 2015 00:00:00 GMT+0100 (BST),0
10457665,Tue Dec 31 2013 00:00:00 GMT+0000 (GMT),Tue Jan 01 2013 00:00:00 GMT+0000 (GMT),-364
10173166,Tue Oct 01 2013 00:00:00 GMT+0100 (BST),Fri Feb 01 2013 00:00:00 GMT+0000 (GMT),-242
10819861,Wed Apr 29 2015 00:00:00 GMT+0100 (BST),Wed Apr 29 2015 00:00:00 GMT+0100 (BST),0
10616508,Tue Dec 31 2013 00:00:00 GMT+0000 (GMT),Fri Feb 01 2013 00:00:00 GMT+0000 (GMT),-333
10817889,Thu Apr 30 2015 00:00:00 GMT+0100 (BST),Thu Apr 30 2015 00:00:00 GMT+0100 (BST),0
10751375,Thu Oct 31 2013 00:00:00 GMT+0000 (GMT),Wed Oct 30 2013 00:00:00 GMT+0000 (GMT),-1
10823029,Thu May 07 2015 00:00:00 GMT+0100 (BST),Thu May 07 2015 00:00:00 GMT+0100 (BST),0
10853896,Thu Aug 20 2015 00:00:00 GMT+0100 (BST),Thu Aug 20 2015 00:00:00 GMT+0100 (BST),0
10800082,Wed Mar 04 2015 00:00:00 GMT+0000 (GMT),Wed Mar 04 2015 00:00:00 GMT+0000 (GMT),0
10809547,Thu Jul 31 2014 00:00:00 GMT+0100 (BST),Fri Aug 01 2014 00:00:00 GMT+0100 (BST),1
10786122,Tue Apr 22 2014 00:00:00 GMT+0100 (BST),Wed May 07 2014 00:00:00 GMT+0100 (BST),15
10809393,Tue Mar 31 2015 00:00:00 GMT+0100 (BST),Sun Mar 01 2015 00:00:00 GMT+0000 (GMT),-30
10906243,Sat Feb 28 2015 00:00:00 GMT+0000 (GMT),Sun Mar 01 2015 00:00:00 GMT+0000 (GMT),1
