id,length
10894339,119
10755362,119
10755362,119
10904780,119
10410339,394
10685517,121
10914794,31
10903868,122
10903868,122
10600827,119
10600827,119
10940707,121
10898263,119
10919294,119
10780612,424
10869850,149
10919308,121
10409437,422
10619044,119
10619044,119
10580700,121
10580700,121
10580700,121
10580700,121
10580700,121
10580700,121
10580700,121
10905115,119
10905148,119
10905152,119
10908590,119
10981186,121
10923783,119
10924042,119
10589862,30
10751060,121
10841739,396
10757918,32
10922765,101
10921131,121
10921131,121
10423178,396
10918700,27
10919847,119
10985449,29
10921099,119
10916082,119
10914847,180
10908935,121
10887732,119
10893245,119
10745492,365
10916356,119
10916402,119
10916565,119
10917829,119
10496330,120
10620774,122
10904923,120
10904923,120
10787029,119
10605427,121
10605427,121
10672961,121
10547455,410
10904533,119
10588700,29
10921466,119
10927721,121
10921415,121
10898332,487
10901280,120
10908674,180
10908691,119
10945214,122
10887061,395
10890079,183
10619560,122
10898792,120
10812714,121
10604697,364
10604697,364
10605242,119
10605242,119
10911587,180
10902368,120
10903378,152
10896292,119
10897821,181
10900011,120
10920008,119
10617711,119
10617711,119
10917594,27
10918811,119
10918817,27
10918843,119
10918844,119
10919991,119
10677870,121
10909562,119
10923297,119
10906482,119
10906487,119
10613369,92
10907601,119
10755419,119
10923552,63
10923569,27
10954233,366
10930770,30
10907548,28
10898087,181
10636803,35
10052717,368
10052717,368
10893761,119
10895003,119
10443552,27
10892335,119
10892376,396
10454227,396
10906818,119
10906832,122
10906864,150
10904953,119
10945611,396
10888076,122
10839532,121
10898512,120
10898530,120
10898609,395
10870124,121
10894945,119
10876810,121
10915885,119
10910069,119
10660042,119
10897541,27
10899696,424
10629694,183
10629694,183
10710197,122
10900322,120
10894372,394
10895696,394
10926799,30
10917298,27
10952836,30
10918575,119
10657358,119
10169149,130
10915993,119
10915102,119
10867364,121
10690429,183
10664525,119
10903694,119
10889952,119
10900855,119
10902792,119
10902840,119
10902843,119
10560881,121
10560884,121
10869436,228
10856887,121
10661116,119
10790612,395
10917254,122
10917254,122
10918504,119
10906601,119
10676661,121
10882241,181
10904032,152
10870521,121
10819964,121
10800191,392
10885242,395
10885248,394
10897119,425
10903087,122
10903087,122
10219071,377
10885814,119
10885783,122
10795424,516
10220745,365
10892869,119
10907192,119
10492210,120
10880898,370
10837454,122
10895121,119
10174614,121
10170424,153
10170424,153
10170424,153
10170424,153
10742417,368
10889650,119
10902447,122
10902447,122
10963440,122
10900043,119
10900117,120
10908530,119
10893851,119
10678794,371
10649345,30
10895019,119
10944085,121
10944085,121
10673926,121
10661642,119
10526397,378
10894451,119
10580679,30
10895052,119
10888462,121
10888490,119
10392275,122
10392276,122
10890666,394
10898942,119
10700724,122
10700724,122
10700724,122
10945636,121
10898965,395
10898910,119
10884270,395
10789083,119
10676617,121
10884219,122
10551508,122
10770413,395
10889415,119
10925873,119
10960592,121
10958542,121
10563733,576
10563733,576
10889571,121
10889571,121
10890982,280
10886874,122
10882193,395
10882201,122
10901630,120
10901655,120
10882164,122
10882169,122
10384178,366
10880926,122
10881050,122
10957491,121
10682717,121
10879428,122
10409658,485
10409658,485
10409658,485
10891016,394
10885337,122
10900675,396
10900709,120
10311311,121
10311311,121
10311311,121
10311311,121
10311311,121
10311311,121
10940104,121
10940104,121
10897925,120
10894806,119
10942012,122
10896409,119
10930172,121
10891717,180
10928098,30
10886056,150
10887826,121
10888546,394
10133554,59
10700604,364
10148203,458
10889187,396
10880550,122
10882440,181
10882450,181
10879242,120
10879381,395
10878908,122
10880501,122
10874319,183
10876538,180
10755447,122
10876634,122
10411331,395
10886629,395
10886637,395
10812634,426
10895542,394
10895300,119
10671571,121
10896839,394
10966539,122
10957364,122
10894056,119
10884665,395
10903343,120
10903343,120
10869737,121
10744255,545
10882501,122
10883651,181
10883658,122
10883690,181
10793019,119
10896035,121
10492288,373
10746236,395
10881557,122
10878983,122
10879160,122
10875393,211
10875394,211
10891844,119
10891891,119
10889051,119
10852300,122
10519721,121
10158978,0
10253167,364
10253167,364
10253167,364
10253167,364
10898389,30
10891746,30408
10866621,121
10903011,119
10900288,121
10900288,121
10869492,180
10869495,180
10868562,396
10872615,121
10863321,121
10747190,121
10881617,122
10904719,396
10904719,396
10886062,122
10887091,395
10888696,122
10888696,122
10888696,122
10888707,394
10088111,365
10849788,122
10849788,122
10849788,122
10849788,122
10849788,122
10849788,122
10849788,122
10474696,90
10761835,395
10884087,181
10232062,425
10878719,122
10604667,364
10752225,181
10873877,121
10875155,121
10875188,180
10875193,180
10877402,30
10865056,121
10865090,394
10781535,396
10864790,426
10917830,119
10887197,122
10883751,122
10868895,121
10868897,121
10879286,395
10880613,122
10897000,150
10941339,121
10895421,0
10928247,121
10892787,119
10749927,119
10874110,121
10872854,121
10872856,121
10871150,91
10590538,371
10231557,368
10231557,368
10563417,121
10564277,181
10506531,120
10868300,394
10883163,122
10868268,121
10873347,121
10773200,395
10873366,121
10876031,180
10910375,122
10910375,122
10869801,121
10878424,241
10864824,121
10863166,121
10863166,121
10566882,394
10941155,121
10941155,121
10709598,395
10874936,121
10874939,180
10866787,121
10874926,121
10708328,120
10617336,122
10869890,180
10869892,180
10881628,181
10919866,211
10919866,211
10880387,181
10877745,395
10884627,181
10876809,211
10215894,368
10581215,365
10491138,120
10872253,121
10865146,121
10747167,183
10747167,183
10748434,364
10748859,121
10748859,121
10869006,121
10866237,121
10904089,121
10904089,121
10883828,122
10947269,122
10868926,121
10868958,122
10868992,122
10882078,122
10757785,396
10882898,181
10868032,121
10868035,121
10868040,121
10868042,121
10879774,454
10881355,119
10882795,242
10761669,302
10761687,122
10875778,121
10863522,121
10954422,121
10878081,426
10901004,150
10901004,150
10868652,121
10866897,394
10874644,394
10876885,181
10876916,455
10149401,366
10872628,121
10938871,121
10871677,122
10873546,121
10875356,395
10866872,91
10149296,366
10169728,121
10169729,121
10866563,394
10883205,122
10711125,1096
10711125,1096
10875289,150
10875289,150
10877842,122
10877862,180
10879114,395
10890719,394
10536776,456
10459248,394
10459248,394
10876465,181
10949525,122
10877851,182
10877851,182
10864945,395
10863187,426
10863189,426
10864205,366
10864229,121
10871592,121
10911577,122
10864925,121
10875868,180
10879634,395
10447419,395
10910294,119
10862639,121
10881777,119
10881777,119
10867781,396
10867814,394
10867926,396
10880462,181
10880474,181
10879654,181
10881791,394
10881311,122
10875483,180
10584708,395
10869332,62
10869332,62
10878108,211
10883272,122
10595929,244
10595929,244
10872455,394
10862915,121
10856537,395
10663046,392
10914797,150
10914797,150
10492251,120
10448404,365
10749562,57
10749562,57
10657685,119
10610067,121
10657681,119
10610073,121
10852808,122
10855317,395
10914199,180
10871093,121
10869374,121
10869386,426
10908351,119
10872108,121
10875945,121
10768182,119
10908901,122
10872137,119
10872137,119
10748266,121
10748274,121
10626086,121
10881173,121
10881173,121
10881173,121
10692503,122
10865776,121
10872561,121
10863271,395
10879873,395
10873694,395
10875006,121
10877273,394
10875380,121
10878752,122
10874015,394
10873634,394
10872650,180
10870996,121
10870378,121
10870381,121
10871715,121
10869181,121
10873008,394
10873041,180
10740442,487
10780125,423
10780129,395
10869163,121
10867065,426
10906921,119
10867095,121
10910550,119
10910645,119
10910544,119
10557955,365
10856557,396
10862720,121
10867533,394
10853789,122
10853793,122
10536602,121
10664697,119
10865856,394
10853811,30
10853816,30
10853821,30
10853823,30
10847658,121
10899775,119
10874618,394
10903520,395
10891149,119
10870248,181
10870248,181
10862784,395
10867630,121
10867622,119
10867622,119
10867632,121
10792953,119
10878175,181
10878153,181
10878231,181
10873717,180
10875049,121
10875052,121
10561325,122
10561325,122
10875089,211
10872022,396
10864965,394
10894712,181
10931628,121
10296911,395
10296911,395
10870731,152
10857231,32
10848797,395
10848800,395
10868184,394
10944492,121
10944492,121
10881281,150
10369254,365
10885869,181
10883951,181
10875107,180
10938244,81
10876917,181
10878362,181
10881695,181
10878662,181
10804000,180
10790083,180
10868061,121
10868061,121
10761742,181
10877314,181
10704277,395
10859343,121
10785642,119
10863721,121
10869187,122
10875500,121
10799487,119
10875569,121
10868038,121
10868039,121
10853532,395
10944150,430
10616761,119
10616761,119
10851884,122
10871928,121
10870508,121
10899951,410
10899951,410
10870528,121
10870547,121
10871854,121
10871864,121
10869313,394
10881954,365
